recipe_id;sequence_number;description
22;5;Serve the dish hot, garnished with herbs or accompaniments as desired.
23;1;Prepare your ingredients by washing, cutting, and setting them aside.
23;2;Preheat your cooking surface, whether it's a pan, pot, or oven.
23;3;Cook your main ingredients, frequently stirring or checking for doneness.
23;4;Add seasonings and sauces according to your taste preferences.
23;5;Serve the dish hot, garnished with herbs or accompaniments as desired.
24;1;Prepare your ingredients by washing, cutting, and setting them aside.
24;2;Preheat your cooking surface, whether it's a pan, pot, or oven.
24;3;Cook your main ingredients, frequently stirring or checking for doneness.
24;4;Add seasonings and sauces according to your taste preferences.
24;5;Serve the dish hot, garnished with herbs or accompaniments as desired.
25;1;Prepare your ingredients by washing, cutting, and setting them aside.
25;2;Preheat your cooking surface, whether it's a pan, pot, or oven.
25;3;Cook your main ingredients, frequently stirring or checking for doneness.
25;4;Add seasonings and sauces according to your taste preferences.
25;5;Serve the dish hot, garnished with herbs or accompaniments as desired.
